fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col
0,mono_tagalog,tagalog_test,mbert,52.8302,0.527,0.528,0.242,0.2869,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,mono_tagalog,bikol_test,all_xlmr,43.3333,0.432,0.433,0.32,0.1005,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,mono_tagalog,cebuano_test,all_xlmr,52.8571,0.485,0.529,0.23,0.2736,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,mono_bikol,tagalog_test,mbert,30.1887,0.0,0.302,0.251,0.0467,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,mono_bikol,bikol_test,mbert,66.6667,0.666,0.667,0.195,0.4595,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
2,mono_bikol,cebuano_test,mbert,65.7143,0.648,0.657,0.21,0.4522,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
2,mono_bikol,tagalog_test,all,32.0755,0.0,0.321,0.248,0.0679,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,mono_bikol,bikol_test,all,70.0,0.702,0.7,0.175,0.5109,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,mono_bikol,cebuano_test,all,64.2857,0.637,0.643,0.245,0.4128,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,mono_bikol,tagalog_test,xlmr,26.4151,0.0,0.264,0.264,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,mono_bikol,bikol_test,xlmr,83.3333,0.846,0.833,0.126,0.7222,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,mono_bikol,cebuano_test,xlmr,60.0,0.447,0.6,0.27,0.3354,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,mono_bikol,tagalog_test,all_xlmr,26.4151,0.0,0.264,0.264,0.0,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,mono_bikol,bikol_test,all_xlmr,83.3333,0.846,0.833,0.126,0.7222,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,mono_bikol,cebuano_test,all_xlmr,61.4286,0.458,0.614,0.258,0.3626,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,mono_cebuano,tagalog_test,mbert,45.283,0.428,0.453,0.291,0.1555,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
2,mono_cebuano,bikol_test,mbert,50.0,0.57,0.5,0.218,0.2683,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
2,mono_cebuano,cebuano_test,mbert,65.7143,0.681,0.657,0.191,0.4542,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
2,mono_cebuano,tagalog_test,all,47.1698,0.479,0.472,0.28,0.1873,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,mono_cebuano,bikol_test,all,60.0,0.661,0.6,0.176,0.4059,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,mono_cebuano,cebuano_test,all,70.0,0.717,0.7,0.167,0.5253,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,mono_cebuano,tagalog_test,xlmr,50.9434,0.508,0.509,0.261,0.2453,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,mono_cebuano,bikol_test,xlmr,53.3333,0.597,0.533,0.201,0.3137,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,mono_cebuano,cebuano_test,xlmr,68.5714,0.715,0.686,0.157,0.508,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,mono_cebuano,tagalog_test,all_xlmr,52.8302,0.53,0.528,0.249,0.2748,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,mono_cebuano,bikol_test,all_xlmr,56.6667,0.626,0.567,0.182,0.3689,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,mono_cebuano,cebuano_test,all_xlmr,70.0,0.723,0.7,0.152,0.5284,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,bi_bikol_tagalog,tagalog_test,mbert,64.1509,0.657,0.642,0.171,0.4629,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,bi_bikol_tagalog,bikol_test,mbert,76.6667,0.767,0.767,0.139,0.6237,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
2,bi_bikol_tagalog,cebuano_test,mbert,67.1429,0.665,0.671,0.155,0.495,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
2,bi_bikol_tagalog,tagalog_test,all,60.3774,0.626,0.604,0.19,0.407,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,bi_bikol_tagalog,bikol_test,all,76.6667,0.767,0.767,0.139,0.6237,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,bi_bikol_tagalog,cebuano_test,all,64.2857,0.624,0.643,0.181,0.4488,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,bi_bikol_tagalog,tagalog_test,xlmr,60.3774,0.622,0.604,0.188,0.4077,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,bi_bikol_tagalog,bikol_test,xlmr,70.0,0.715,0.7,0.153,0.5238,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,bi_bikol_tagalog,cebuano_test,xlmr,64.2857,0.619,0.643,0.197,0.4318,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,bi_bikol_tagalog,tagalog_test,all_xlmr,62.2642,0.659,0.623,0.175,0.4383,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.698,0.667,0.159,0.4792,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,bi_bikol_tagalog,cebuano_test,all_xlmr,64.2857,0.62,0.643,0.198,0.4337,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,bi_cebuano_bikol,tagalog_test,mbert,47.1698,0.66,0.472,0.258,0.2131,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
2,bi_cebuano_bikol,bikol_test,mbert,73.3333,0.725,0.733,0.169,0.558,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
2,bi_cebuano_bikol,cebuano_test,mbert,72.8571,0.714,0.729,0.175,0.5584,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
2,bi_cebuano_bikol,tagalog_test,all,47.1698,0.644,0.472,0.265,0.2039,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,bi_cebuano_bikol,bikol_test,all,73.3333,0.754,0.733,0.156,0.5676,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,bi_cebuano_bikol,cebuano_test,all,72.8571,0.723,0.729,0.177,0.5576,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,bi_cebuano_bikol,tagalog_test,xlmr,49.0566,0.543,0.491,0.245,0.2368,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,bi_cebuano_bikol,bikol_test,xlmr,86.6667,0.884,0.867,0.107,0.774,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,bi_cebuano_bikol,cebuano_test,xlmr,78.5714,0.779,0.786,0.115,0.6615,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,bi_cebuano_bikol,tagalog_test,all_xlmr,45.283,0.489,0.453,0.262,0.1833,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,bi_cebuano_bikol,bikol_test,all_xlmr,86.6667,0.896,0.867,0.117,0.7753,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,bi_cebuano_bikol,cebuano_test,all_xlmr,81.4286,0.81,0.814,0.106,0.7061,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,bi_tagalog_cebuano,tagalog_test,mbert,58.4906,0.6,0.585,0.22,0.3663,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,bi_tagalog_cebuano,bikol_test,mbert,53.3333,0.742,0.533,0.144,0.3488,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
2,bi_tagalog_cebuano,cebuano_test,mbert,72.8571,0.743,0.729,0.148,0.5728,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
2,bi_tagalog_cebuano,tagalog_test,all,62.2642,0.645,0.623,0.198,0.4273,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,bi_tagalog_cebuano,bikol_test,all,53.3333,0.726,0.533,0.156,0.3427,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,bi_tagalog_cebuano,cebuano_test,all,71.4286,0.734,0.714,0.154,0.5521,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,bi_tagalog_cebuano,tagalog_test,xlmr,56.6038,0.578,0.566,0.211,0.3488,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,bi_tagalog_cebuano,bikol_test,xlmr,50.0,0.553,0.5,0.246,0.2424,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,bi_tagalog_cebuano,cebuano_test,xlmr,68.5714,0.691,0.686,0.162,0.5088,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,bi_tagalog_cebuano,tagalog_test,all_xlmr,58.4906,0.612,0.585,0.197,0.3804,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,bi_tagalog_cebuano,bikol_test,all_xlmr,56.6667,0.603,0.567,0.207,0.35,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,bi_tagalog_cebuano,cebuano_test,all_xlmr,68.5714,0.691,0.686,0.162,0.5088,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,all_languages,tagalog_test,mbert,58.4906,0.583,0.585,0.221,0.3697,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,all_languages,bikol_test,mbert,80.0,0.804,0.8,0.11,0.6842,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
2,all_languages,cebuano_test,mbert,70.0,0.704,0.7,0.166,0.5238,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
2,all_languages,tagalog_test,all,64.1509,0.642,0.642,0.189,0.4557,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,all_languages,bikol_test,all,86.6667,0.878,0.867,0.062,0.7895,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,all_languages,cebuano_test,all,71.4286,0.725,0.714,0.161,0.546,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,all_languages,tagalog_test,xlmr,60.3774,0.604,0.604,0.197,0.3987,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,all_languages,bikol_test,xlmr,80.0,0.798,0.8,0.133,0.6721,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,all_languages,cebuano_test,xlmr,78.5714,0.777,0.786,0.123,0.658,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,all_languages,tagalog_test,all_xlmr,62.2642,0.62,0.623,0.192,0.4249,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
2,all_languages,bikol_test,all_xlmr,86.6667,0.863,0.867,0.084,0.7814,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
2,all_languages,cebuano_test,all_xlmr,75.7143,0.756,0.757,0.136,0.6149,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,mono_tagalog,tagalog_test,mbert,0.0,0.0,0.0,0.0,0.0,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,mono_tagalog,bikol_test,mbert,0.0,0.0,0.0,0.0,0.0,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,mono_tagalog,cebuano_test,mbert,0.0,0.0,0.0,0.0,0.0,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,mono_tagalog,tagalog_test,all,0.0,0.0,0.0,0.0,0.0,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,mono_tagalog,bikol_test,all,0.0,0.0,0.0,0.0,0.0,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,mono_tagalog,cebuano_test,all,0.0,0.0,0.0,0.0,0.0,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,mono_tagalog,tagalog_test,xlmr,0.0,0.0,0.0,0.0,0.0,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,mono_tagalog,bikol_test,xlmr,0.0,0.0,0.0,0.0,0.0,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,mono_tagalog,cebuano_test,xlmr,0.0,0.0,0.0,0.0,0.0,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,mono_tagalog,tagalog_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,mono_tagalog,bikol_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,mono_tagalog,cebuano_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,mono_bikol,tagalog_test,mbert,0.0,0.0,0.0,0.0,0.0,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,mono_bikol,bikol_test,mbert,0.0,0.0,0.0,0.0,0.0,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,mono_bikol,cebuano_test,mbert,0.0,0.0,0.0,0.0,0.0,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,mono_bikol,tagalog_test,all,0.0,0.0,0.0,0.0,0.0,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,mono_bikol,bikol_test,all,0.0,0.0,0.0,0.0,0.0,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,mono_bikol,cebuano_test,all,0.0,0.0,0.0,0.0,0.0,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,mono_bikol,tagalog_test,xlmr,0.0,0.0,0.0,0.0,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,mono_bikol,bikol_test,xlmr,0.0,0.0,0.0,0.0,0.0,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,mono_bikol,cebuano_test,xlmr,0.0,0.0,0.0,0.0,0.0,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,mono_bikol,tagalog_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,mono_bikol,bikol_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,mono_bikol,cebuano_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,mono_cebuano,tagalog_test,mbert,0.0,0.0,0.0,0.0,0.0,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
3,mono_cebuano,bikol_test,mbert,0.0,0.0,0.0,0.0,0.0,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
3,mono_cebuano,cebuano_test,mbert,0.0,0.0,0.0,0.0,0.0,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
3,mono_cebuano,tagalog_test,all,0.0,0.0,0.0,0.0,0.0,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,mono_cebuano,bikol_test,all,0.0,0.0,0.0,0.0,0.0,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,mono_cebuano,cebuano_test,all,0.0,0.0,0.0,0.0,0.0,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,mono_cebuano,tagalog_test,xlmr,0.0,0.0,0.0,0.0,0.0,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,mono_cebuano,bikol_test,xlmr,0.0,0.0,0.0,0.0,0.0,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,mono_cebuano,cebuano_test,xlmr,0.0,0.0,0.0,0.0,0.0,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,mono_cebuano,tagalog_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,mono_cebuano,bikol_test,all_xlmr,0.0,0.0,0.0,0.0,0.0,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,mono_cebuano,cebuano_test,all_xlmr,60.0,0.635,0.6,0.197,0.3813,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,bi_bikol_tagalog,tagalog_test,mbert,47.1698,0.468,0.472,0.279,0.1978,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,bi_bikol_tagalog,bikol_test,mbert,63.3333,0.567,0.633,0.203,0.4065,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,bi_bikol_tagalog,cebuano_test,mbert,65.7143,0.662,0.657,0.161,0.4799,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,bi_bikol_tagalog,tagalog_test,all,45.283,0.451,0.453,0.289,0.1696,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,bi_bikol_tagalog,bikol_test,all,63.3333,0.567,0.633,0.203,0.4065,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,bi_bikol_tagalog,cebuano_test,all,65.7143,0.645,0.657,0.184,0.4672,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,bi_bikol_tagalog,tagalog_test,xlmr,56.6038,0.573,0.566,0.225,0.3407,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,bi_bikol_tagalog,bikol_test,xlmr,73.3333,0.697,0.733,0.145,0.5722,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,bi_bikol_tagalog,cebuano_test,xlmr,54.2857,0.509,0.543,0.247,0.2987,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,bi_bikol_tagalog,tagalog_test,all_xlmr,58.4906,0.587,0.585,0.219,0.3687,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,bi_bikol_tagalog,bikol_test,all_xlmr,73.3333,0.629,0.733,0.151,0.5652,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,bi_bikol_tagalog,cebuano_test,all_xlmr,51.4286,0.483,0.514,0.274,0.2459,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,bi_cebuano_bikol,tagalog_test,mbert,37.7358,0.488,0.377,0.321,0.0571,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
3,bi_cebuano_bikol,bikol_test,mbert,80.0,0.829,0.8,0.128,0.678,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
3,bi_cebuano_bikol,cebuano_test,mbert,71.4286,0.699,0.714,0.158,0.5487,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
3,bi_cebuano_bikol,tagalog_test,all,37.7358,0.465,0.377,0.321,0.0566,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,bi_cebuano_bikol,bikol_test,all,76.6667,0.809,0.767,0.154,0.6147,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,bi_cebuano_bikol,cebuano_test,all,71.4286,0.699,0.714,0.158,0.5487,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,bi_cebuano_bikol,tagalog_test,xlmr,39.6226,0.434,0.396,0.286,0.1134,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,bi_cebuano_bikol,bikol_test,xlmr,70.0,0.585,0.7,0.181,0.5082,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,bi_cebuano_bikol,cebuano_test,xlmr,65.7143,0.662,0.657,0.181,0.4641,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,bi_cebuano_bikol,tagalog_test,all_xlmr,35.8491,0.407,0.358,0.313,0.0491,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,bi_cebuano_bikol,bikol_test,all_xlmr,70.0,0.692,0.7,0.175,0.5161,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,bi_cebuano_bikol,cebuano_test,all_xlmr,67.1429,0.676,0.671,0.176,0.4838,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,bi_tagalog_cebuano,tagalog_test,mbert,45.283,0.405,0.453,0.3,0.1489,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,bi_tagalog_cebuano,bikol_test,mbert,53.3333,0.7,0.533,0.156,0.3365,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,bi_tagalog_cebuano,cebuano_test,mbert,71.4286,0.712,0.714,0.144,0.5493,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,bi_tagalog_cebuano,tagalog_test,all,47.1698,0.453,0.472,0.284,0.1837,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,bi_tagalog_cebuano,bikol_test,all,50.0,0.682,0.5,0.164,0.2969,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,bi_tagalog_cebuano,cebuano_test,all,72.8571,0.724,0.729,0.138,0.5722,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,bi_tagalog_cebuano,tagalog_test,xlmr,49.0566,0.485,0.491,0.271,0.2219,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,bi_tagalog_cebuano,bikol_test,xlmr,40.0,0.63,0.4,0.249,0.1276,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,bi_tagalog_cebuano,cebuano_test,xlmr,62.8571,0.657,0.629,0.17,0.4226,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,bi_tagalog_cebuano,tagalog_test,all_xlmr,49.0566,0.503,0.491,0.268,0.2261,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,bi_tagalog_cebuano,bikol_test,all_xlmr,43.3333,0.654,0.433,0.229,0.1827,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,bi_tagalog_cebuano,cebuano_test,all_xlmr,64.2857,0.669,0.643,0.164,0.4453,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,all_languages,tagalog_test,mbert,45.283,0.451,0.453,0.286,0.1687,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,all_languages,bikol_test,mbert,66.6667,0.563,0.667,0.201,0.4536,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,all_languages,cebuano_test,mbert,75.7143,0.748,0.757,0.135,0.616,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,all_languages,tagalog_test,all,50.9434,0.507,0.509,0.257,0.2531,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,all_languages,bikol_test,all,70.0,0.585,0.7,0.181,0.5064,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,all_languages,cebuano_test,all,77.1429,0.76,0.771,0.129,0.6371,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,all_languages,tagalog_test,xlmr,52.8302,0.536,0.528,0.247,0.2857,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,all_languages,bikol_test,xlmr,63.3333,0.559,0.633,0.214,0.4054,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,all_languages,cebuano_test,xlmr,70.0,0.703,0.7,0.149,0.5287,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,all_languages,tagalog_test,all_xlmr,50.9434,0.531,0.509,0.248,0.2623,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,all_languages,bikol_test,all_xlmr,66.6667,0.562,0.667,0.201,0.4555,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,all_languages,cebuano_test,all_xlmr,68.5714,0.684,0.686,0.162,0.5042,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,mono_tagalog,tagalog_test,mbert,47.1698,0.482,0.472,0.267,0.2102,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,mono_tagalog,bikol_test,mbert,20.0,0.0,0.2,0.217,-0.0198,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,mono_tagalog,cebuano_test,mbert,36.2319,0.493,0.362,0.43,-0.052,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,mono_tagalog,tagalog_test,all,45.283,0.451,0.453,0.287,0.1772,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,mono_tagalog,bikol_test,all,23.3333,0.0,0.233,0.209,0.0129,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,mono_tagalog,cebuano_test,all,37.6812,0.502,0.377,0.424,-0.0327,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,mono_tagalog,tagalog_test,xlmr,50.9434,0.512,0.509,0.25,0.2599,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,mono_tagalog,bikol_test,xlmr,36.6667,0.608,0.367,0.279,0.0625,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,mono_tagalog,cebuano_test,xlmr,30.4348,0.591,0.304,0.228,0.067,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,mono_tagalog,tagalog_test,all_xlmr,47.1698,0.472,0.472,0.273,0.2022,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,mono_tagalog,bikol_test,all_xlmr,36.6667,0.608,0.367,0.279,0.0625,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,mono_tagalog,cebuano_test,all_xlmr,31.8841,0.489,0.319,0.235,0.08,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,mono_bikol,tagalog_test,mbert,28.3019,0.26,0.283,0.27,0.0118,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,mono_bikol,bikol_test,mbert,80.0,0.787,0.8,0.117,0.6768,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,mono_bikol,cebuano_test,mbert,60.8696,0.564,0.609,0.268,0.3563,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,mono_bikol,tagalog_test,all,28.3019,0.0,0.283,0.285,-0.0005,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,mono_bikol,bikol_test,all,83.3333,0.827,0.833,0.098,0.7331,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,mono_bikol,cebuano_test,all,63.7681,0.594,0.638,0.249,0.4012,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,mono_bikol,tagalog_test,xlmr,26.4151,0.0,0.264,0.264,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,mono_bikol,bikol_test,xlmr,70.0,0.682,0.7,0.177,0.5213,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,mono_bikol,cebuano_test,xlmr,62.3188,0.0,0.623,0.301,0.3491,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,mono_bikol,tagalog_test,all_xlmr,26.4151,0.0,0.264,0.264,0.0,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
